// Datafile written by Mathcad
// 04/13/06 17:34:14

.MATRIX 0 1 24 3
 "root1" "root2" "root3"  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311
  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0
 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311
 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311
  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0
 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311
 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311
  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0
 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311
 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311
  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0
 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311
 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311
  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0
 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311
 -0.1225,    2.311  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311
  -59.75,        0 -0.1225,   -2.311 -0.1225,    2.311  -59.75,        0
 -0.1225,   -2.311 -0.1225,    2.311
